Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
186;23;-13426.08;0;240.9999;240.9999;17.21428;385.9999;385.9999;38.59999;14;10;500;280;-8000;-706.084;-5500
187;15;-11748.98;0;212.6668;212.6668;21.26668;302.8332;302.8332;37.85415;10;8;400;200;-8000;-348.9765;-4000
188;20;-15558.36;0;463.3332;463.3332;33.09523;457.6667;457.6667;50.85186;14;9;450;280;-10000;-288.3577;-6000
189;17;-9128.953;0;509.6667;509.6667;31.85417;345.8333;345.8333;34.58332;16;10;500;320;-6000;-948.9529;-3000
190;21;-11656.83;0;286;286;20.42857;532.1665;532.1665;53.21665;14;10;500;280;-6000;-936.8271;-5500
191;13;-4102.567;0;296.3332;296.3332;21.16666;397.5;397.5;44.16667;14;9;450;280;-2000;-332.5676;-2500
192;13;-7621.243;0;160.6666;160.6666;20.08333;240.6666;240.6666;40.1111;8;6;300;160;-4000;-1081.243;-3000
193;19;-12752.13;0;237.3332;237.3332;18.2564;272.6665;272.6665;34.08332;13;8;400;260;-8000;-412.1336;-5000
194;19;-9253.422;0;459.6666;459.6666;32.83333;468.833;468.833;58.60413;14;8;400;280;-4000;-933.4216;-5000
195;15;-9037.602;0;384.6665;384.6665;27.47618;297.1664;297.1664;42.45234;14;7;350;280;-6000;-667.6005;-3000
196;13;-13575.36;0;377.3332;377.3332;47.16665;0;0;NaN;8;0;0;160;-8000;-735.3632;-5000
197;18;-10026.54;0;404.6666;404.6666;25.29166;378.167;378.167;42.01855;16;9;450;320;-6000;-796.5382;-4000
198;25;-20489.3;0;273.9999;273.9999;19.57142;476.4997;476.4997;43.31816;14;11;550;280;-14000;-819.3042;-6500
199;13;-7672.808;0;122;122;17.42857;195.8333;195.8333;32.63889;7;6;300;140;-4000;-1112.806;-3000
200;12;-3128.572;0;50.66668;50.66668;8.444446;137.5;137.5;27.5;6;5;250;120;0;-498.5718;-3000
201;19;-9854.405;0;420.9999;420.9999;32.38461;457.4998;457.4998;45.74998;13;10;500;260;-6000;-614.405;-4000
202;17;-9396.67;0;130;130;18.57142;81.83334;81.83334;27.27778;7;3;150;140;-4000;-1186.669;-4500
203;14;-5455.205;0;411.3335;411.3335;29.38096;373.5;373.5;37.35;14;10;500;280;-4000;-235.2049;-2000
204;12;-14497.57;0;77.66666;77.66666;12.94444;80.50005;80.50005;26.83335;6;3;150;120;-10000;-767.5648;-4000
205;15;-6203.511;0;124.3333;124.3333;17.76189;158.9999;158.9999;26.49998;7;6;300;140;-2000;-643.5112;-4000
206;17;-10250.79;0;234.6667;234.6667;23.46667;107.5;107.5;21.5;10;5;250;200;-6000;-700.7925;-4000
207;25;-17054.07;0;586.6664;586.6664;32.59258;628.8329;628.8329;48.37176;18;13;650;360;-12000;-1064.07;-5000
208;8;-1805.513;0;185;185;26.42858;85.99998;85.99998;28.66666;7;3;150;140;0;-595.5134;-1500
209;18;-13024.8;0;691.0003;691.0003;49.35717;632.6664;632.6664;63.26664;14;10;500;280;-8000;-804.8017;-5000
210;23;-16432.8;0;440.3333;440.3333;24.46296;521.0001;521.0001;47.36365;18;11;550;360;-12000;-842.8048;-4500
211;29;-23121.92;0;294.0001;294.0001;11.30769;590.8333;590.8333;32.82407;26;18;900;520;-18000;-1041.913;-5500
212;20;-21446.79;0;241.6665;241.6665;34.52378;110.9999;110.9999;27.74998;7;4;200;140;-14000;-786.7866;-7000
213;20;-17281.44;0;411.6664;411.6664;27.44443;529.4997;529.4997;48.13634;15;11;550;300;-12000;-631.433;-5500
214;16;-1597.474;0;592.6664;592.6664;32.92591;615.9995;615.9995;47.38458;18;13;650;360;0;-607.4744;-2000
215;25;-20180.85;0;440.3332;440.3332;24.46295;551.6668;551.6668;42.43591;18;13;650;360;-14000;-690.852;-6500
