Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
22;21;-909.3749;0;449.3335;449.3335;26.43138;685.8333;685.8333;52.75641;17;13;390;340;-400;-1239.375
23;27;-664.6486;0;597.9998;597.9998;29.89999;733.9998;733.9998;52.42856;20;14;420;400;-800;-684.6486
24;26;-841.1174;0;671.9996;671.9996;33.59998;745.1664;745.1664;53.22617;20;14;420;400;-600;-1061.117
25;26;74.23128;0;472.3332;472.3332;21.46969;756.6661;756.6661;44.50977;22;17;510;440;-500;-375.7687
26;16;-668.7424;0;203.6667;203.6667;25.45834;148.6666;148.6666;37.16666;8;4;120;160;-400;-548.7424
27;25;-669.1033;0;507;507;25.35;801.4998;801.4998;44.52776;20;18;540;400;-500;-1109.103
28;15;-973.9403;0;175.6666;175.6666;19.51851;233.1669;233.1669;58.29174;9;4;120;180;-200;-1073.94
29;17;-595.5474;0;122.6666;122.6666;17.52381;92.6667;92.6667;23.16668;7;4;120;140;-300;-555.5474
30;23;339.5455;0;807.6664;807.6664;29.91357;833.9995;833.9995;43.89471;27;19;570;540;-300;-470.4545
31;30;-119.1216;0;815.9995;815.9995;32.63998;944.6666;944.6666;47.23333;25;20;600;500;-600;-619.1216
32;28;61.18034;0;837.9999;837.9999;34.91666;946.3329;946.3329;55.66665;24;17;510;480;-300;-628.8196
33;12;-973.562;0;153.6667;153.6667;25.61112;24.33336;24.33336;24.33336;6;1;30;120;-100;-1023.562
34;22;-1460.307;0;323.6665;323.6665;32.36665;244.1663;244.1663;48.83327;10;5;150;200;-700;-1110.306
35;12;-1599.174;0;192.3333;192.3333;32.05555;163.9999;163.9999;32.79999;6;5;150;120;-300;-1569.174
36;14;-989.9816;0;253;253;31.625;139.8333;139.8333;34.95833;8;4;120;160;-300;-969.9816
37;12;-563.6439;0;160.6666;160.6666;20.08333;98.49995;98.49995;32.83332;8;3;90;160;-100;-713.6438
38;18;-268.4845;0;276.3332;276.3332;23.02777;215.6666;215.6666;26.95833;12;8;240;240;-400;-348.4845
39;30;-551.2493;0;823.6666;823.6666;28.4023;1280;1280;53.33331;29;24;720;580;-500;-1351.249
40;15;-1232.229;0;82.33335;82.33335;13.72223;54.00002;54.00002;27.00001;6;2;60;120;-400;-1012.229
41;21;-535.6257;0;374.6665;374.6665;24.97776;424.6662;424.6662;47.18513;15;9;270;300;-600;-505.6257
42;19;-1147.639;0;359.3332;359.3332;27.64101;375.3332;375.3332;41.70369;13;9;270;260;-400;-1277.639
43;15;-682.7184;0;258.6667;258.6667;25.86666;300.9997;300.9997;42.99996;10;7;210;200;-200;-892.7184
44;33;566.5392;0;1103.333;1103.333;33.43432;1379.833;1379.833;51.10492;33;27;810;660;-500;-403.4609
45;12;-1206.861;0;95.00002;95.00002;19;43.33331;43.33331;43.33331;5;1;30;100;-400;-936.8613
46;17;-746.0386;0;441.3334;441.3334;31.52382;353.8334;353.8334;39.31482;14;9;270;280;-300;-996.0385
47;13;-498.8576;0;335.3334;335.3334;30.48486;146.4999;146.4999;36.62498;11;4;120;220;-100;-738.8577
48;14;-729.9107;0;138.6667;138.6667;23.11111;107.1666;107.1666;26.79166;6;4;120;120;0;-969.9107
49;16;-163.3987;0;286;286;19.06667;197;197;32.83333;15;6;180;300;-100;-543.3987
50;11;-1119.756;0;265.6668;265.6668;44.2778;41.66665;41.66665;41.66665;6;1;30;120;-200;-1069.756
51;20;-869.1283;0;352.3331;352.3331;32.03028;147.3334;147.3334;49.11114;11;3;90;220;-500;-679.1283
52;14;-305.5911;0;468.333;468.333;33.45236;250.4999;250.4999;35.7857;14;7;210;280;-100;-695.591
53;29;-245.2529;0;655;655;25.19231;816.1666;816.1666;40.80833;26;20;600;520;-800;-565.2529
54;11;-831.0419;0;217.9999;217.9999;21.79999;131.6666;131.6666;32.91666;10;4;120;200;-100;-1051.042
55;16;-1010.006;0;139;139;17.37499;135.3331;135.3331;33.83329;8;4;120;160;-400;-890.0062
56;18;-895.3758;0;251.3333;251.3333;22.84849;249.6667;249.6667;35.66667;11;7;210;220;-600;-725.3758
57;14;-1158.011;0;252.0003;252.0003;50.40005;88.33328;88.33328;44.16664;5;2;60;100;-300;-1018.012
58;14;-404.4919;0;245.6666;245.6666;24.56666;107.5;107.5;26.87501;10;4;120;200;-100;-624.4918
59;19;-24.17631;0;673.3331;673.3331;39.60783;635.4998;635.4998;52.95831;17;12;360;340;-400;-324.1763
60;16;-1087.117;0;104.6667;104.6667;14.95238;70.49998;70.49998;17.625;7;4;120;140;-700;-647.1174
61;18;-170.7023;0;386.9998;386.9998;22.7647;553.6663;553.6663;42.58972;17;13;390;340;-400;-500.7023
62;22;-298.1448;0;460.9998;460.9998;27.11763;331.8331;331.8331;36.87035;17;9;270;340;-400;-508.1448
