Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
24;27;-22810.22;0;349.6665;349.6665;21.85416;428.3333;428.3333;42.83333;16;10;500;320;-16000;-1130.224;-6500
25;26;-14801.59;0;467.3331;467.3331;22.25396;476.6665;476.6665;34.04761;21;14;700;420;-10000;-421.5931;-5500
26;22;-13567.58;0;850.6661;850.6661;40.50791;674.8331;674.8331;48.20236;21;14;700;420;-10000;-687.5799;-4000
27;30;-28810.14;0;638.6668;638.6668;31.93334;834.3331;834.3331;46.35184;20;18;900;400;-22000;-610.1354;-7500
28;27;-18031.53;0;569.6667;569.6667;28.48334;807.333;807.333;47.49018;20;17;850;400;-12000;-1281.532;-6000
29;13;-5467.855;0;293;293;32.55556;201.8333;201.8333;40.36665;9;5;250;180;-2000;-897.8545;-3000
30;16;-3872.041;0;363.6667;363.6667;27.97436;205.3333;205.3333;34.22222;13;6;300;260;0;-932.0405;-3500
31;11;-8903.001;0;141;141;23.49999;148.4998;148.4998;49.49994;6;3;150;120;-6000;-673.0016;-2500
32;15;-6554.43;0;150.6667;150.6667;15.06667;309.3332;309.3332;44.19045;10;7;350;200;-2000;-604.4296;-4500
33;15;-15807.16;0;237.9998;237.9998;21.63635;225.1666;225.1666;45.03332;11;5;250;220;-12000;-777.1551;-3500
34;19;-13490.12;0;272.6666;272.6666;30.29629;128.8334;128.8334;25.76667;9;5;250;180;-8000;-420.1187;-5500
35;14;-4781.444;0;95.33334;95.33334;15.88889;55.16667;55.16667;18.38889;6;3;150;120;-2000;-1051.443;-2000
36;17;-14653.43;0;274;274;27.4;107.3333;107.3333;53.66666;10;2;100;200;-8000;-953.4343;-6000
37;27;-9890.562;0;884.3333;884.3333;28.52688;1725.5;1725.5;61.625;31;28;1400;620;-6000;-910.5612;-5000
38;18;-13695.97;0;381.9996;381.9996;38.19996;189.3331;189.3331;47.33327;10;4;200;200;-8000;-595.972;-5500
