Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
151;18;125.5198;0;472.9999;472.9999;27.82352;606.9996;606.9996;43.35712;17;14;420;340;-200;-434.4803
152;16;-656.3813;0;401.3332;401.3332;36.48484;279.1667;279.1667;69.79166;11;4;120;220;-200;-796.3813
153;19;-980.5001;0;259.9998;259.9998;23.63635;161.1665;161.1665;32.23331;11;5;150;220;-700;-650.5001
154;15;53.83319;0;323.3333;323.3333;19.01961;367.4998;367.4998;40.83331;17;9;270;340;-300;-256.1668
155;15;-1532.768;0;87.99998;87.99998;17.6;135.3332;135.3332;45.11106;5;3;90;100;-400;-1322.768
156;39;820.2704;0;985.3331;985.3331;25.26495;1385.166;1385.166;41.97472;39;33;990;780;-600;-349.7297
157;45;588.5151;0;1238.333;1238.333;30.20325;1818.833;1818.833;50.52314;41;36;1080;820;-900;-411.4849
158;11;-42.58866;0;349.3333;349.3333;31.75757;327.1664;327.1664;40.8958;11;8;240;220;0;-502.5886
159;19;-492.84;0;210.3333;210.3333;17.52778;205.3333;205.3333;41.06665;12;5;150;240;-300;-582.84
160;32;-856.377;0;527.0002;527.0002;29.27779;596.6665;596.6665;39.77777;18;15;450;360;-600;-1066.377
161;17;-452.4262;0;228.6667;228.6667;15.24444;254.3334;254.3334;28.25927;15;9;270;300;-200;-822.4262
162;16;-451.9178;0;350.3333;350.3333;35.03333;208.1667;208.1667;34.69445;10;6;180;200;-300;-531.9178
163;18;-105.4477;0;277.3333;277.3333;21.33333;267.6667;267.6667;26.76667;13;10;300;260;-100;-565.4478
164;14;-638.3538;0;174.3333;174.3333;13.41026;321.6665;321.6665;45.95235;13;7;210;260;-300;-808.3538
165;14;-466.7331;0;126.6667;126.6667;12.66667;245.1666;245.1666;49.03332;10;5;150;200;-200;-616.7332
166;30;-290.399;0;433.3332;433.3332;22.80701;616.1664;616.1664;41.07776;19;15;450;380;-800;-320.399
167;14;-244.7353;0;195.3334;195.3334;17.75758;121.3333;121.3333;30.33332;11;4;120;220;0;-584.7353
168;16;-925.4742;0;194.6668;194.6668;16.22223;197.8333;197.8333;39.56667;12;5;150;240;-400;-915.4742
169;29;-385.1549;0;904.0001;904.0001;41.09091;977.1667;977.1667;51.42983;22;19;570;440;-900;-495.1549
170;15;-342.76;0;138.6667;138.6667;13.86667;176.3334;176.3334;29.38891;10;6;180;200;-300;-422.76
171;30;-382.4607;0;696.6669;696.6669;30.28986;668.3331;668.3331;41.77082;23;16;480;460;-800;-522.4607
172;13;-1347.193;0;103.6667;103.6667;20.73333;43.8333;43.8333;43.8333;5;1;30;100;-400;-1077.193
173;19;-898.2858;0;173.3333;173.3333;19.25926;165.1667;165.1667;27.52778;9;6;180;180;-400;-858.2858
174;17;-203.1746;0;430.6665;430.6665;33.12819;408.333;408.333;40.8333;13;10;300;260;-200;-563.1746
175;15;-209.6224;0;209.3333;209.3333;19.0303;251.1665;251.1665;31.39582;11;8;240;220;-300;-369.6224
176;16;-684.2123;0;288.3332;288.3332;32.03702;167;167;33.39999;9;5;150;180;-200;-814.2123
177;19;-278.0541;0;462.3334;462.3334;30.82223;384.3331;384.3331;42.70368;15;9;270;300;-200;-648.0541
178;24;-315.1694;0;746.3333;746.3333;39.2807;668.9996;668.9996;51.46151;19;13;390;380;-400;-685.1694
179;15;-884.9936;0;272.3334;272.3334;20.94872;440.1669;440.1669;62.88099;13;7;210;260;-400;-954.9935
180;17;-1049.667;0;122.3333;122.3333;20.38888;206.4998;206.4998;51.62494;6;4;120;120;-500;-789.6669
181;13;21.78086;0;425.9996;425.9996;28.39997;428.9998;428.9998;47.66664;15;9;270;300;-100;-448.2191
182;37;-778.3357;0;710.9999;710.9999;30.91304;847.3329;847.3329;42.36665;23;20;600;460;-1000;-838.3357
183;21;-1349.73;0;272.3333;272.3333;22.69444;389.8334;389.8334;43.31482;12;9;270;240;-600;-1259.73
184;16;-1588.275;0;283.3331;283.3331;35.41664;38.16667;38.16667;38.16667;8;1;30;160;-600;-1178.275
185;21;-644.9222;0;469.9998;469.9998;29.37499;304.1666;304.1666;38.02082;16;8;240;320;-200;-1004.922
186;36;542.3242;0;1012;1012;24.68293;1697.333;1697.333;51.43433;41;33;990;820;-700;-567.6758
187;46;835.3171;0;1670.999;1670.999;35.55318;2016.999;2016.999;48.02378;47;42;1260;940;-900;-464.6829
188;18;-279.5901;0;369.9999;369.9999;18.5;488.3331;488.3331;44.39392;20;11;330;400;-200;-809.5901
189;14;359.2548;0;651.3331;651.3331;34.28069;443.6664;443.6664;31.69046;19;14;420;380;-100;-340.7452
190;13;-651.3145;0;95;95;11.875;185;185;36.99999;8;5;150;160;-300;-661.3145
191;16;170.7832;0;533.3333;533.3333;31.37255;745.1669;745.1669;53.2262;17;14;420;340;-100;-489.2168
192;12;-1132.749;0;75.33334;75.33334;12.55556;26.83335;26.83335;26.83335;6;1;30;120;-300;-982.7493
193;13;-777.4357;0;102;102;20.39999;36.50001;36.50001;36.50001;5;1;30;100;-100;-807.4357
194;15;-817.6985;0;149.6667;149.6667;21.38095;116.5;116.5;23.29999;7;5;150;140;-600;-507.6984
195;16;-271.3604;0;419.6665;419.6665;22.08771;547.3331;547.3331;45.61109;19;12;360;380;-200;-811.3604
196;20;-507.4423;0;174.6667;174.6667;11.64445;271.9999;271.9999;33.99999;15;8;240;300;-200;-847.4423
197;13;-218.5284;0;367.9998;367.9998;33.45453;195.1666;195.1666;32.52777;11;6;180;220;-200;-418.5284
198;17;-504.3281;0;372.6666;372.6666;31.05555;155.4999;155.4999;31.09998;12;5;150;240;-300;-594.3282
199;16;-1416.443;0;64.66666;64.66666;12.93333;106.9999;106.9999;35.66665;5;3;90;100;-500;-1106.443
200;11;-1521.412;0;152;152;25.33333;85.99992;85.99992;42.99996;6;2;60;120;-300;-1401.412
201;22;-27.44625;0;518.6666;518.6666;25.93333;541.333;541.333;36.08887;20;15;450;400;-200;-677.4462
202;19;-24.35582;0;320;320;18.82353;328.1665;328.1665;29.83332;17;11;330;340;-200;-494.3558
203;30;-1048.935;0;680.3331;680.3331;27.21333;986.3325;986.3325;54.79625;25;18;540;500;-900;-1188.935
204;18;-1066.748;0;117.6667;117.6667;23.53333;76.16667;76.16667;38.08334;5;2;60;100;-200;-1026.748
205;22;-542.9584;0;482;482;28.35294;537.4998;537.4998;48.86362;17;11;330;340;-600;-612.9584
206;20;-625.7097;0;493.9998;493.9998;32.93332;477.666;477.666;53.074;15;9;270;300;-400;-795.7098
207;26;167.6659;0;833.9999;833.9999;29.78571;1024.833;1024.833;44.55795;28;23;690;560;-400;-682.3342
208;16;-561.6605;0;579.9999;579.9999;27.61905;334.9997;334.9997;41.87497;21;8;240;420;-300;-921.6605
209;18;-455.3381;0;448.6666;448.6666;32.04761;355.4997;355.4997;39.49997;14;9;270;280;-400;-605.3381
210;21;-290.6366;0;248;248;14.58823;349.6665;349.6665;34.96665;17;10;300;340;-300;-630.6366
211;15;-725.2607;0;200.9999;200.9999;25.12499;229.3332;229.3332;32.76188;8;7;210;160;-200;-895.2607
212;17;-921.2125;0;316.6664;316.6664;26.38887;153.8333;153.8333;38.45832;12;4;120;240;-400;-881.2125
213;22;486.9069;0;770.6665;770.6665;30.82666;1067.5;1067.5;50.83332;25;21;630;500;-300;-343.0931
214;28;130.0035;0;546.9998;546.9998;22.79166;711.3331;711.3331;39.51851;24;18;540;480;-300;-589.9965
215;22;-948.362;0;528.6666;528.6666;35.24444;568.3332;568.3332;56.83332;15;10;300;300;-400;-1148.362
216;18;-740.7449;0;223;223;22.3;126.5;126.5;42.16665;10;3;90;200;-300;-730.7449
217;14;-542.5439;0;260.9999;260.9999;28.99999;236.8332;236.8332;47.36664;9;5;150;180;-400;-472.5439
218;17;-965.1618;0;364.6665;364.6665;26.04761;328.833;328.833;46.97614;14;7;210;280;-500;-955.1618
219;16;-26.58579;0;319;319;21.26667;389.3333;389.3333;38.93333;15;10;300;300;-200;-426.5858
220;38;-428.0689;0;838.6663;838.6663;31.06172;1555.833;1555.833;59.83973;27;26;780;540;-1000;-748.0689
221;32;417.6307;0;781.9997;781.9997;26.96551;901.666;901.666;40.98482;29;22;660;580;-400;-422.3692
222;17;-708.6464;0;260.6667;260.6667;28.96297;245.4997;245.4997;61.37493;9;4;120;180;-400;-608.6464
223;17;-115.3053;0;670.6669;670.6669;33.53334;529.6661;529.6661;52.96661;20;10;300;400;-300;-515.3054
224;24;-643.2214;0;529.6666;529.6666;31.15686;524.6666;524.6666;47.69696;17;11;330;340;-700;-613.2214
225;8;-1010.5;0;208.0002;208.0002;26.00002;0;0;NaN;8;0;0;160;-100;-1070.5
226;11;-704.3244;0;128.6667;128.6667;16.08333;168.5;168.5;33.7;8;5;150;160;-300;-714.3244
227;34;154.1853;0;773.3331;773.3331;22.74509;1110.166;1110.166;38.2816;34;29;870;680;-900;-495.8147
228;17;-647.5822;0;439.6665;439.6665;29.3111;205;205;25.625;15;8;240;300;-300;-887.5823
229;21;-590.9692;0;572.9998;572.9998;35.81249;433.6666;433.6666;43.36666;16;10;300;320;-600;-610.9692
230;15;-442.154;0;180.0001;180.0001;16.36364;226.3333;226.3333;32.33332;11;7;210;220;-100;-772.154
231;22;423.1203;0;757.9997;757.9997;29.15384;1006;1006;50.3;26;20;600;520;-300;-396.8796
232;13;-1074.347;0;167;167;23.85714;93.83321;93.83321;46.91661;7;2;60;140;-500;-774.3473
233;14;-743.0859;0;63;63;10.5;99.6666;99.6666;24.91665;6;4;120;120;-500;-483.086
234;22;-625.3718;0;232.3333;232.3333;16.59523;245.6667;245.6667;30.70834;14;8;240;280;-300;-845.3717
235;15;-568.5499;0;132.9999;132.9999;12.0909;223.6666;223.6666;37.27776;11;6;180;220;-300;-668.55
